Cas genes,,,,,,,,,,,,,,,,,,,,,,,,,
Cas1,,,,,,,x,,,,x,,,,,,,,,,,,x,x,x
Cas2,,,,,,,x,,,,x,,,,,,x,,,,,,x,x,x
Cas3,x,,!,!,!,!,x,,,,,x,,x,x,x,x,x,,,,,,,
Cas3 prime,,x,,,,,,,,,,,,,,,,,,,,,,,
Cas4,,,,,,,x,,,,,,,,,!,!,,,,,,,,
Cas5,,,,,,,x,x,x,,x,,x,x,,,,,,,x,,,,
Cas6,,,,,,,,,,,,,x,,,,,,,,,,,,
Cas7,,,,,,,x,x,x,,x,,x,,,,,,x,x,x,,,,
Cas8,,,,,,,x,,,,,,,,,,,,,,,,,,
Cas8a,,,,,,,,,,,,x,,,,,,,,,,,,,
Cas8b,,,,,,,,,,,,,x,,,,,,,,,,,,
Cas8c,,,,,,,,,,,,,,x,,,,,,,,,,,
Cas9,!,!,x,!,!,!,,,,,x,,,,,,,,,,,,x,x,x
Cas10,,!,!,x,!,!,,x,,,,,,,,,,,x,x,,,,,
Cas10d,,,,,,,,,,,,,,,x,,,,,,,,,,
Cpf1,!,!,!,!,!,x,,,,x,,,,,,,,,,,,,,,
Csf1,!,!,!,!,x,!,,,x,,,,,,,,,,,,,,,,
Csa5,,,,,,,,,,,,x,,,,,,,,,,,,,
Cse1 (Cas8e),,,,,,,,,,,,,,,,x,,,,,,,,,
Cse2,,,,,,,,,,,,,,,,x,,,,,,,,,
Csy1 (Cas8f),,,,,,,,,,,,,,,,,x,,,,,,,,
Csy2 (Cas5 group RAMP),,,,,,,,,,,,,,,,,x,,,,,,,,
Csy3 (Cas7 group RAMP),,,,,,,,,,,,,,,,,x,,,,,,,,
Cas6f,,,,,,,,,,,,,,,,,x,,,,,,,,
GSU0054 (Cas5 group RAMP),,,,,,,,,,,,,,,,,,x,,,,,,,
Csm2,,,,,,,,,,,,,,,,,,,x,,,,,,
Cmr5,,,,,,,,,,,,,,,,,,,,x,,,,,
MTH326 (Csx11),,,,,,,,,,,,,,,,,,,,,x,,,,
Csx10 (Cas5 group RAMP),,,,,,,,,,,,,,,,,,,,,,x,,,
Csn2,,,,,,,,,,,,,,,,,,,,,,,x,,
Csx12,,,,,,,,,,,,,,,,,,,,,,,,x,
,,,,,,,,,,,,,,,,,,,,,,,,,
CRISPR types,,,,,,,,,,,,,,,,,,,,,,,,,
Class 1 Type I ,x,x,,,,,x,,,,,,,,,,,,,,,,,,
Class 1 Type I-A,,,,,,,,,,,,x,,,,,,,,,,,,,
Class 1 Type I-B,,,,,,,,,,,,,x,,,,,,,,,,,,
Class 1 Type I-C,,,,,,,,,,,,,,x,,,,,,,,,,,
Class 1 Type I-U,,,,,,,,,,,,,,,,,,x,,,,,,,
Class 1 Type I-D,,,,,,,,,,,,,,,x,,,,,,,,,,
Class 1 Type I-E,,,,,,,,,,,,,,,,x,,,,,,,,,
Class 1 Type I-F,,,,,,,,,,,,,,,,,x,,,,,,,,
Class 2 Type II,,,x,,,,,,,,x,,,,,,,,,,,,,,
Class 2 Type II-A,,,,,,,,,,,,,,,,,,,,,,,x,,
Class 2 Type II-B,,,,,,,,,,,,,,,,,,,,,,,,x,
Class 2 Type II-C,,,,,,,,,,,,,,,,,,,,,,,,,x
Class 1 Type III,,,,x,,,,x,,,,,,,,,,,,,,,,,
Class 1 Type III-A,,,,,,,,,,,,,,,,,,,x,,,,,,
Class 1 Type III-B,,,,,,,,,,,,,,,,,,,,x,,,,,
Class 1 Type III-C,,,,,,,,,,,,,,,,,,,,,x,,,,
Class 1 Type III-D,,,,,,,,,,,,,,,,,,,,,,x,,,
Class 1 Type IV,,,,,x,,,,x,,,,,,,,,,,,,,,,
Class 2 Type V,,,,,,x,,,,x,,,,,,,,,,,,,,,
